"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
3672,12,6,2,27,2,2,555,450,6,0,0,27971
3732,12,9,1,74,1,2,228,38,3,0,0,753
3960,12,21,1,35,1,3,996,7,30,0,0,70573
4001,12,28,2,51,3,3,1501,289,49,33.3333333333333,0,96
4026,12,44,1,100,1,3,2418,7,31,100,0,150
4731,12,16,1,92,1,2,611,7,32,100,0,260
5086,12,17,1,48,1,2,415,7,32,100,0,47
5100,12,6,4,17,4,2,239,28,38,100,0,209
5213,12,9,1,27,1,2,324,7,32,100,0,60
5288,12,33,1,63,1,2,608,7,32,100,0,178
5355,12,9,1,31,1,2,330,7,32,100,0,89
5425,12,42,1,82,1,2,631,7,32,100,0,256
5562,12,97,1,357,1,4,2808,7,32,100,0,193
5739,12,20,1,67,1,2,523,7,32,100,0,148
5800,12,9,1,71,1,2,334,7,32,100,0,2445
6024,12,16,2,64,2,2,784,51,38,100,0,418
6155,12,29,2,71,2,2,755,53,38,100,0,116189
6579,12,10,1,24,1,2,135,7,32,100,0,840
6769,12,6,1,20,2,2,423,115,7,100,0,66
6879,12,20,1,43,1,2,313,7,32,100,0,23
6923,12,22,1,48,1,2,357,7,32,100,0,32
6989,12,27,1,58,1,3,723,7,32,100,0,519
7010,12,5,1,31,1,2,67,9,2,0,0,881
7092,12,20,1,49,1,2,407,7,32,100,0,565865
7106,12,20,1,51,1,2,818,7,32,100,0,819
7134,12,29,1,91,1,2,1029,7,32,100,0,63
7324,12,146,2,424,2,4,8292,27,34,0,0,146
7736,12,175,3,563,9,5,10323,197,54,55.5555555555556,0,2430
8005,12,175,2,557,2,5,10355,12,4,50,0,16027
8667,12,223,3,305,3,1,52547,23,38,100,0,8997
8879,12,329,1,669,1,7,60840,7,33,100,0,10384
8951,12,16,1,67,1,1,1136,7,34,100,0,10403
8967,12,1,1,1,1,1,7,7,34,100,0,64
9010,12,80,1,266,1,2,5837,7,31,100,0,7200
9059,12,19,2,51,4,2,672,140,12,50,0,80812
9088,12,16,2,83,2,1,1203,507,51,100,0,238
9147,12,18,1,85,1,2,1212,7,34,100,0,978
9164,12,16,1,43,1,2,99,7,33,100,0,213
9214,12,13,1,21,1,2,96,7,28,100,0,41
9225,12,17,1,45,1,2,208,7,28,100,0,30
9253,12,10,1,48,1,1,129,7,38,100,0,24
9258,12,15,1,56,1,1,161,7,32,100,0,23
9310,12,7,1,17,1,2,61,7,28,100,0,46926
9381,12,134,1,479,1,2,9170,5,2,100,0,167
9579,12,13,1,43,1,2,96,7,33,100,0,542
9627,12,15,1,52,1,2,158,7,36,100,0,37
9645,12,17,1,55,1,3,161,7,30,100,0,32
9747,12,22,1,85,1,2,137,7,28,100,0,365
9771,12,25,2,106,2,2,235,24,38,100,0,62
9801,12,39,1,156,1,2,1173,7,32,100,0,76
9919,12,176,1,751,1,4,11964,7,32,100,0,201365
10007,12,78,1,358,1,3,2834,7,32,100,0,202139
10066,12,10,1,51,1,1,234,7,34,100,0,34
10097,12,12,1,19,1,2,185,7,32,100,0,4478
10143,12,21,1,56,1,2,183,7,32,100,0,226
10264,12,23,1,83,1,2,240,7,30,100,0,470
10286,12,5,4,13,6,2,146,112,56,100,0,2061
10352,12,42,3,149,3,2,2169,23,37,100,0,2321
10375,12,5,3,15,5,2,71,57,42,100,0,239
10382,12,3,1,15,1,2,101,7,33,0,0,198
10387,12,3,1,11,1,2,29,7,34,100,0,116
10401,12,44,3,152,3,2,2117,31,41,100,0,709
10428,12,3,3,3,3,2,31,31,39,100,0,10487
10434,12,9,1,25,1,1,255,7,34,100,0,97
10589,12,23,1,67,1,2,316,7,34,100,0,370
10609,12,14,1,54,1,1,376,7,37,100,0,25
10634,12,16,1,57,1,1,414,7,37,100,0,18
10683,12,104,1,510,1,2,529,7,40,100,0,1195
10716,12,4,1,5,1,1,15,7,40,100,0,34
10799,12,16,1,37,1,3,114,7,42,100,0,33
10916,12,20,1,48,1,3,5551,7,42,100,0,254682
10945,12,9,3,86,9,2,562,65,58,100,0,5597
10976,12,26,1,42,1,3,357,7,48,100,0,4611
11025,12,184,1,322,1,4,23231,71,5,0,0,167
11179,12,187,2,387,2,3,19142,26,4,0,0,239
11255,12,41,1,113,1,2,1908,11,40,0,0,877
11373,12,50,1,149,1,2,1663,11,40,0,0,54
11474,12,9,1,20,1,2,355,11,40,0,0,2023
11616,12,62,1,221,1,2,2184,11,40,0,0,10969
12210,12,250,1,683,1,7,24398,8,2,100,0,3803
12734,12,23,1,84,1,1,303,11,43,0,0,227
12797,12,29,1,120,1,1,494,11,43,0,0,18
13144,12,17,3,121,3,3,332,123,50,33.3333333333333,0,3821
13174,12,4,1,7,1,2,21,9,46,0,0,130306
13203,12,9,1,14,1,2,276,9,46,0,0,23
13266,12,22,1,135,1,2,554,11,46,0,0,29
13316,12,7,1,15,1,2,36,11,46,0,0,55
13333,12,23,1,142,1,3,561,11,46,0,0,37
13572,12,12,1,20,1,4,58,11,46,0,0,10086
16817,12,12,1,20,1,4,33,11,46,0,0,443190
16820,12,10,1,16,1,2,59,11,46,0,0,2503779
16822,12,4,1,4,1,2,16,11,46,0,0,162
16825,12,6,1,10,1,2,37,11,46,0,0,250
16840,12,16,1,34,1,3,100,11,46,0,0,1276
16846,12,12,1,25,1,4,59,11,46,0,0,131
16850,12,9,1,19,1,2,69,11,46,0,0,3518
16857,12,11,1,22,1,2,199,11,46,0,0,34
16862,12,12,1,56,1,2,218,11,46,0,0,1408
16868,12,13,1,92,1,2,280,11,46,0,0,32
16870,12,14,1,102,1,2,332,11,46,0,0,30
16931,12,8,1,10,1,2,149,11,46,0,0,90
16942,12,11,1,15,1,2,183,11,46,0,0,181
16947,12,14,1,19,1,2,190,11,46,0,0,42
16954,12,15,1,23,1,2,208,11,46,0,0,49
16964,12,19,1,37,1,3,225,11,46,0,0,83
16972,12,22,1,66,1,3,447,11,46,0,0,2051
17047,12,7,1,42,1,1,445,11,46,0,0,197
17126,12,11,3,46,6,2,303,60,56,0,0,3010
17194,12,10,1,16,1,2,112,11,46,0,0,99
17213,12,13,1,28,1,2,149,11,46,0,0,108
17243,12,18,1,43,1,2,211,11,46,0,0,104126
17265,12,24,1,58,1,2,400,11,46,0,0,116
17327,12,64,1,416,1,3,11122,11,46,0,0,113
17401,12,66,1,433,1,3,11310,11,46,0,0,54
17465,12,78,1,448,1,3,11810,11,46,0,0,42
17549,12,79,2,455,3,3,11433,265,54,0,0,39
17586,12,34,4,172,5,1,914,74,62,0,0,901
17613,12,70,1,406,1,3,11650,11,46,0,0,77047
17718,12,14,1,38,1,2,96,11,46,0,0,75
17729,12,17,1,42,1,2,117,11,46,0,0,33
17753,12,16,2,667,2,2,6133,95,55,0,0,109
17819,12,18,3,41,3,2,240,47,50,0,0,201
17866,12,4,1,17,1,2,122,11,46,0,0,579
17897,12,5,2,33,2,2,108,20,48,0,0,18143
