"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
17952,12,5,4,68,7,2,1002,211,80,28.5714285714286,0,6049
17980,12,13,2,99,2,2,1395,84,54,50,0,14437
18401,12,307,3,992,4,3,17048,31,8,100,0,228115
18678,12,315,5,1433,8,3,22685,741,41,100,0,998
18946,12,325,1,1452,2,3,22431,81,8,100,0,978
19187,12,316,2,1442,2,3,22385,25,6,100,0,703
19368,12,7,1,39,1,2,114,11,52,100,0,168
19376,12,14,1,77,1,2,252,11,52,100,0,354
19406,12,7,1,33,1,2,223,11,52,100,0,1697
19483,12,106,1,607,1,2,16615,11,52,100,0,65
19578,12,12,2,88,2,2,849,102,54,100,0,982
19835,12,9,1,25,1,3,94,11,52,100,0,47
20374,12,6,1,12,1,1,61,11,52,100,0,1611
20383,12,8,1,35,1,1,211,11,52,100,0,25
20393,12,29,1,87,1,1,286,11,52,100,0,242
20456,12,32,1,100,1,1,314,11,52,100,0,25
20487,12,36,1,114,1,2,346,11,52,100,0,25
20511,12,43,1,146,1,2,1807,11,52,100,0,34
20549,12,39,1,133,1,2,406,11,52,100,0,40
20643,12,44,1,139,1,3,720,11,52,100,0,1304952
20710,12,7,1,19,1,2,107,11,52,100,0,22
20738,12,165,1,184,1,2,320,11,52,100,0,241112
20791,12,205,3,383,3,4,2654,23,56,100,0,274777
20868,12,168,1,188,1,5,716,11,52,100,0,78
20932,12,165,1,193,1,2,378,11,52,100,0,58
21014,12,169,1,200,1,2,477,12,59,100,0,65
21091,12,170,1,212,1,2,556,12,52,100,0,29
21114,12,5,1,47,1,1,140,12,52,100,0,28
21283,12,158,1,202,1,2,550,13,52,100,0,57
21330,12,175,1,268,1,2,1140,12,52,100,0,279
21402,12,176,1,280,1,2,1221,12,52,100,0,54
21439,12,182,1,306,1,5,1733,12,52,100,0,38
21526,12,568,1,2093,1,4,29604,50,2,100,0,69723
21777,12,569,1,2060,1,4,29824,12,65,100,0,1221
22061,12,9,1,28,1,1,117,13,70,100,0,59
22072,12,9,1,31,1,1,118,13,70,100,0,35
22086,12,11,1,53,1,1,154,13,67,100,0,37
22110,12,26,1,81,1,1,385,13,67,100,0,42
22160,12,14,1,45,1,1,585,13,60,100,0,29
22162,12,15,1,47,1,2,593,13,60,100,0,27
22169,12,7,1,39,1,2,95,13,60,100,0,32
22216,12,13,1,72,1,2,262,13,60,100,0,210
22256,12,8,1,26,1,2,99,13,60,100,0,5873
22265,12,10,1,30,1,2,140,13,60,100,0,44
22273,12,12,1,43,1,2,169,13,60,100,0,34
22289,12,5,1,91,1,2,779,13,60,100,0,4832
22294,12,6,1,100,1,2,796,13,60,100,0,43
22301,12,7,1,101,1,2,797,13,60,100,0,34
22317,12,9,1,105,1,2,805,13,60,100,0,28
22384,12,11,1,111,1,2,876,13,60,100,0,29
22427,12,27,1,167,1,3,1065,13,60,100,0,88
22457,12,76,1,375,1,5,2294,13,60,100,0,55
22471,12,14,2,126,2,2,1006,95,71,100,0,245
22488,12,92,1,435,1,11,2605,13,60,100,0,200
22542,12,20,1,145,1,2,1059,13,60,100,0,216
22599,12,92,1,425,1,6,2587,13,60,100,0,74
22623,12,47,2,237,2,4,1476,29,65,100,0,1564
22651,12,12,1,45,1,2,129,13,71,100,0,10102
22755,12,17,1,46,1,2,89,13,60,100,0,48
22780,12,8,1,18,1,3,124,13,60,100,0,30411
22792,12,14,1,42,1,3,213,13,60,100,0,315
22843,12,24,1,63,1,2,383,13,60,100,0,35
22854,12,10,1,21,1,1,63,13,63,100,0,23
22871,12,12,1,29,1,1,97,13,63,100,0,26
22891,12,16,1,23,1,1,141,13,63,100,0,46714
22898,12,8,1,23,1,1,69,13,66,100,0,175184
22907,12,8,1,23,1,1,69,13,63,100,0,26
22914,12,27,1,121,1,1,329,13,64,100,0,2020
22934,12,29,1,128,1,1,338,13,64,100,0,26
22965,12,34,1,171,1,1,471,13,64,100,0,23
22994,12,40,1,183,1,2,502,13,64,100,0,16425
23042,12,7,1,64,1,1,261,13,62,100,0,45
23057,12,4,1,26,1,1,97,13,62,100,0,39
23077,12,21,1,87,1,1,465,13,62,100,0,1219
23095,12,22,1,99,1,1,480,13,62,100,0,26
23136,12,24,1,112,1,1,526,13,62,100,0,31
23173,12,25,1,114,1,1,528,13,62,100,0,26
23218,12,7,1,8,1,2,26,7,2,100,0,50
23233,12,7,1,8,1,2,24,5,2,100,0,43
23276,12,10,1,19,1,2,59,9,62,100,0,41
